Partij,Jaar,Zetels
Vrijheidsbond,2003,0
Vrijheidsbond,2004,0
Vrijheidsbond,2005,0
Vrijheidsbond,2006,0
Vrijheidsbond,2007,0
Vrijheidsbond,2008,0
Vrijheidsbond,2009,0
Vrijheidsbond,2010,0
Vrijheidsbond,2011,0
Vrijheidsbond,2012,0
Vrijheidsbond,2013,0
Vrijheidsbond,2014,0
Vrijheidsbond,2015,0
Vrijheidsbond,2016,0
Vrijheidsbond,2017,0
Vrijheidsbond,2018,0
Vrijheidsbond,2019,0
Vrijheidsbond,2020,0
Vrijheidsbond,2021,0
Vrijheidsbond,2022,0
Vrijheidsbond,2023,0
Vrijheidsbond,2024,0
Vrijheidsbond,2025,0
CHU,1956,6
CHU,1957,6
CHU,1958,6
CHU,1959,6
CHU,1960,8
CHU,1961,8
CHU,1962,8
CHU,1963,7
CHU,1964,7
CHU,1965,7
CHU,1966,7
CHU,1967,7
CHU,1968,7
CHU,1969,8
CHU,1970,8
CHU,1971,7
CHU,1972,7
CHU,1973,7
CHU,1974,7
CHU,1975,7
CHU,1976,7
CHU,1977,0
CHU,1978,0
CHU,1979,0
CHU,1980,0
CHU,1981,0
CHU,1982,0
CHU,1983,0
CHU,1984,0
CHU,1985,0
CHU,1986,0
CHU,1987,0
CHU,1988,0
CHU,1989,0
CHU,1990,0
CHU,1991,0
CHU,1992,0
CHU,1993,0
CHU,1994,0
CHU,1995,0
CHU,1996,0
CHU,1997,0
CHU,1998,0
CHU,1999,0
CHU,2000,0
CHU,2001,0
CHU,2002,0
CHU,2003,0
CHU,2004,0
CHU,2005,0
CHU,2006,0
CHU,2007,0
CHU,2008,0
CHU,2009,0
CHU,2010,0
CHU,2011,0
CHU,2012,0
CHU,2013,0
CHU,2014,0
CHU,2015,0
CHU,2016,0
CHU,2017,0
CHU,2018,0
CHU,2019,0
CHU,2020,0
CHU,2021,0
CHU,2022,0
CHU,2023,0
CHU,2024,0
CHU,2025,0
ARP,1956,7
ARP,1957,7
ARP,1958,7
ARP,1959,7
ARP,1960,8
ARP,1961,8
ARP,1962,8
ARP,1963,7
ARP,1964,7
ARP,1965,7
ARP,1966,7
ARP,1967,7
ARP,1968,7
ARP,1969,7
ARP,1970,7
ARP,1971,7
ARP,1972,7
ARP,1973,7
ARP,1974,6
ARP,1975,6
ARP,1976,6
ARP,1977,0
ARP,1978,0
ARP,1979,0
ARP,1980,0
ARP,1981,0
ARP,1982,0
ARP,1983,0
ARP,1984,0
ARP,1985,0
ARP,1986,0
ARP,1987,0
ARP,1988,0
ARP,1989,0
ARP,1990,0
ARP,1991,0
ARP,1992,0
ARP,1993,0
ARP,1994,0
ARP,1995,0
ARP,1996,0
ARP,1997,0
ARP,1998,0
ARP,1999,0
ARP,2000,0
ARP,2001,0
ARP,2002,0
ARP,2003,0
ARP,2004,0
ARP,2005,0
ARP,2006,0
ARP,2007,0
ARP,2008,0
ARP,2009,0
ARP,2010,0
ARP,2011,0
ARP,2012,0
ARP,2013,0
ARP,2014,0
ARP,2015,0
ARP,2016,0
ARP,2017,0
ARP,2018,0
ARP,2019,0
ARP,2020,0
ARP,2021,0
ARP,2022,0
ARP,2023,0
ARP,2024,0
ARP,2025,0
PvdA,1956,15
PvdA,1957,15
PvdA,1958,15
PvdA,1959,15
PvdA,1960,23
PvdA,1961,23
PvdA,1962,23
PvdA,1963,25
PvdA,1964,25
PvdA,1965,25
PvdA,1966,22
PvdA,1967,22
PvdA,1968,22
PvdA,1969,20
PvdA,1970,20
PvdA,1971,18
PvdA,1972,18
PvdA,1973,18
PvdA,1974,21
PvdA,1975,21
PvdA,1976,21
PvdA,1977,25
PvdA,1978,25
PvdA,1979,25
PvdA,1980,26
PvdA,1981,28
PvdA,1982,28
PvdA,1983,17
PvdA,1984,17
PvdA,1985,17
PvdA,1986,17
PvdA,1987,26
PvdA,1988,26
PvdA,1989,26
PvdA,1990,26
